 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:20 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:23 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:24 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:25 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:26 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
 16:50:27 up  1:40,  3 users,  load average: 0,41, 0,26, 0,24
